date,close
2025-01-01,70000
2025-01-02,70056
2025-01-03,70167
2025-01-04,70333
2025-01-05,70552
2025-01-06,70823
2025-01-07,71143
2025-01-08,71510
2025-01-09,71920
2025-01-10,72371
2025-01-11,72858
2025-01-12,73377
2025-01-13,73924
2025-01-14,74494
2025-01-15,75081
2025-01-16,75680
2025-01-17,76285
2025-01-18,76890
2025-01-19,77489
2025-01-20,78076
2025-01-21,78644
2025-01-22,79187
2025-01-23,79699
2025-01-24,80174
2025-01-25,80607
2025-01-26,80993
2025-01-27,81327
2025-01-28,81605
2025-01-29,81824
2025-01-30,81981
2025-01-31,82074
2025-02-01,82101
2025-02-02,82063
2025-02-03,81959
2025-02-04,81791
2025-02-05,81561
2025-02-06,81272
2025-02-07,80928
2025-02-08,80532
2025-02-09,80089
2025-02-10,79604
2025-02-11,79083
2025-02-12,78532
2025-02-13,77956
2025-02-14,77363
2025-02-15,76758
2025-02-16,76148
2025-02-17,75539
2025-02-18,74937
2025-02-19,74348
2025-02-20,73778
2025-02-21,73232
2025-02-22,72714
2025-02-23,72230
2025-02-24,71783
2025-02-25,71378
2025-02-26,71018
2025-02-27,70705
2025-02-28,70442
2025-03-01,70231
2025-03-02,70074
2025-03-03,69972
2025-03-04,69925
2025-03-05,69934
2025-03-06,69999
2025-03-07,70119
2025-03-08,70294
2025-03-09,70522
2025-03-10,70801
2025-03-11,71129
2025-03-12,71503
2025-03-13,71920
2025-03-14,72377
2025-03-15,72869
2025-03-16,73393
2025-03-17,73944
2025-03-18,74517
2025-03-19,75106
2025-03-20,75706
2025-03-21,76311
2025-03-22,76915
2025-03-23,77512
2025-03-24,78095
2025-03-25,78659
2025-03-26,79197
2025-03-27,79703
2025-03-28,80171
2025-03-29,80596
2025-03-30,80973
2025-03-31,81298
2025-04-01,81566
2025-04-02,81774
2025-04-03,81920
2025-04-04,82002
2025-04-05,82018
2025-04-06,81969
2025-04-07,81855
2025-04-08,81677
2025-04-09,81438
2025-04-10,81140
2025-04-11,80787
2025-04-12,80383
2025-04-13,79933
2025-04-14,79442
2025-04-15,78916
2025-04-16,78361
2025-04-17,77783
2025-04-18,77188
2025-04-19,76582
2025-04-20,75972
2025-04-21,75364
2025-04-22,74764
2025-04-23,74178
2025-04-24,73612
2025-04-25,73071
2025-04-26,72559
2025-04-27,72081
2025-04-28,71642
2025-04-29,71245
2025-04-30,70893
2025-05-01,70589
2025-05-02,70335
2025-05-03,70133
2025-05-04,69985
2025-05-05,69892
2025-05-06,69855
2025-05-07,69874
2025-05-08,69948
2025-05-09,70078
2025-05-10,70262
2025-05-11,70498
2025-05-12,70785
2025-05-13,71120
2025-05-14,71501
2025-05-15,71925
2025-05-16,72387
2025-05-17,72885
2025-05-18,73413
2025-05-19,73967
2025-05-20,74542
2025-05-21,75133
2025-05-22,75734
2025-05-23,76339
2025-05-24,76942
2025-05-25,77536
2025-05-26,78116
2025-05-27,78675
2025-05-28,79207
2025-05-29,79706
2025-05-30,80167
2025-05-31,80584
2025-06-01,80952
2025-06-02,81267
2025-06-03,81525
2025-06-04,81723
2025-06-05,81858
2025-06-06,81929
2025-06-07,81934
2025-06-08,81874
2025-06-09,81749
2025-06-10,81561
2025-06-11,81312
2025-06-12,81005
2025-06-13,80643
2025-06-14,80231
2025-06-15,79774
2025-06-16,79277
2025-06-17,78746
2025-06-18,78187
2025-06-19,77606
2025-06-20,77009
2025-06-21,76403
2025-06-22,75794
2025-06-23,75188
2025-06-24,74591
2025-06-25,74009
2025-06-26,73447
2025-06-27,72911
2025-06-28,72405
2025-06-29,71934
2025-06-30,71502
2025-07-01,71112
2025-07-02,70768
2025-07-03,70472
2025-07-04,70227
2025-07-05,70035
2025-07-06,69897
2025-07-07,69814
2025-07-08,69786
2025-07-09,69814
2025-07-10,69898
2025-07-11,70037
2025-07-12,70229
2025-07-13,70474
2025-07-14,70769
2025-07-15,71112
2025-07-16,71500
2025-07-17,71930
2025-07-18,72398
2025-07-19,72901
2025-07-20,73433
2025-07-21,73991
2025-07-22,74569
2025-07-23,75161
2025-07-24,75762
2025-07-25,76366
2025-07-26,76967
2025-07-27,77559
2025-07-28,78135
2025-07-29,78690
2025-07-30,79217
2025-07-31,79710
2025-08-01,80163
2025-08-02,80572
2025-08-03,80931
2025-08-04,81236
2025-08-05,81484
2025-08-06,81671
2025-08-07,81795
2025-08-08,81855
2025-08-09,81849
2025-08-10,81778
2025-08-11,81642
2025-08-12,81443
2025-08-13,81184
2025-08-14,80868
2025-08-15,80498
2025-08-16,80079
2025-08-17,79616
2025-08-18,79114
2025-08-19,78578
2025-08-20,78015
2025-08-21,77431
2025-08-22,76833
2025-08-23,76226
2025-08-24,75617
2025-08-25,75013
2025-08-26,74419
2025-08-27,73840
2025-08-28,73283
